locus_tag	ftype	length_bp	gene	EC_number	COG	product
NCJPFIPA_00800	CDS	1077				hypothetical protein
NCJPFIPA_00801	gene	513				
NCJPFIPA_00801	CDS	513				hypothetical protein
NCJPFIPA_00802	gene	759				
NCJPFIPA_00802	CDS	759				hypothetical protein
NCJPFIPA_00803	gene	825	rcnA			
NCJPFIPA_00803	CDS	825	rcnA		COG2215	Nickel/cobalt efflux system RcnA
NCJPFIPA_00804	gene	273	rcnR			
NCJPFIPA_00804	CDS	273	rcnR		COG1937	Transcriptional repressor RcnR
NCJPFIPA_00805	gene	1230	yqeG			
NCJPFIPA_00805	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
NCJPFIPA_00806	gene	456				
NCJPFIPA_00806	CDS	456				hypothetical protein
NCJPFIPA_00807	gene	864	allS_1			
NCJPFIPA_00807	CDS	864	allS_1			HTH-type transcriptional activator AllS
NCJPFIPA_00808	gene	1179	thlA			
NCJPFIPA_00808	CDS	1179	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
NCJPFIPA_00809	gene	837	kduI			
NCJPFIPA_00809	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
NCJPFIPA_00810	gene	762	kduD			
NCJPFIPA_00810	CDS	762	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
NCJPFIPA_00811	gene	1419	araE			
NCJPFIPA_00811	CDS	1419	araE			Arabinose-proton symporter
NCJPFIPA_00812	gene	747	ygeA			
NCJPFIPA_00812	CDS	747	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
NCJPFIPA_00813	gene	936	occR			
NCJPFIPA_00813	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
NCJPFIPA_00814	gene	1263	lysA_1			
NCJPFIPA_00814	CDS	1263	lysA_1	4.1.1.20		Diaminopimelate decarboxylase
NCJPFIPA_00815	gene	1020	ascG			
NCJPFIPA_00815	CDS	1020	ascG		COG1609	HTH-type transcriptional regulator AscG
NCJPFIPA_00816	gene	1029	galR			
NCJPFIPA_00816	CDS	1029	galR		COG1609	HTH-type transcriptional regulator GalR
NCJPFIPA_00817	gene	2160	aas			
NCJPFIPA_00817	CDS	2160	aas		COG0204	Bifunctional protein Aas
NCJPFIPA_00818	gene	1203	lplT			
NCJPFIPA_00818	CDS	1203	lplT			Lysophospholipid transporter LplT
NCJPFIPA_00819	gene	1041	tas			
NCJPFIPA_00819	CDS	1041	tas		COG0667	Protein tas
NCJPFIPA_00820	gene	219	ygdR_3			
NCJPFIPA_00820	CDS	219	ygdR_3			putative lipoprotein YgdR
NCJPFIPA_00821	gene	714				
NCJPFIPA_00821	CDS	714				hypothetical protein
NCJPFIPA_00822	gene	696	mutH			
NCJPFIPA_00822	CDS	696	mutH		COG3066	DNA mismatch repair protein MutH
NCJPFIPA_00823	gene	531	rppH			
NCJPFIPA_00823	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
NCJPFIPA_00824	gene	2247	ptsP			
NCJPFIPA_00824	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
NCJPFIPA_00825	gene	876	lgt			
NCJPFIPA_00825	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
NCJPFIPA_00826	gene	795	thyA			
NCJPFIPA_00826	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
NCJPFIPA_00827	gene	471				
NCJPFIPA_00827	CDS	471				hypothetical protein
NCJPFIPA_00828	gene	564				
NCJPFIPA_00828	CDS	564				hypothetical protein
NCJPFIPA_00829	gene	408				
NCJPFIPA_00829	CDS	408				hypothetical protein
NCJPFIPA_00830	gene	321				
NCJPFIPA_00830	CDS	321				hypothetical protein
NCJPFIPA_00831	gene	3372	recC			
NCJPFIPA_00831	CDS	3372	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
NCJPFIPA_00832	gene	2889	ptrA			
NCJPFIPA_00832	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
NCJPFIPA_00833	gene	3546	recB			
NCJPFIPA_00833	CDS	3546	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
NCJPFIPA_00834	gene	1836	recD			
NCJPFIPA_00834	CDS	1836	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
NCJPFIPA_00835	gene	1332	argA			
NCJPFIPA_00835	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
NCJPFIPA_00836	gene	1254	amiC			
NCJPFIPA_00836	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
NCJPFIPA_00837	gene	77				
NCJPFIPA_00837	tRNA	77				tRNA-Met(cat)
NCJPFIPA_00838	gene	1098	mltA			
NCJPFIPA_00838	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
NCJPFIPA_00839	gene	807	tcdA			
NCJPFIPA_00839	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
NCJPFIPA_00840	gene	915	rarD_1			
NCJPFIPA_00840	CDS	915	rarD_1		COG2962	Protein RarD
NCJPFIPA_00841	gene	444	csdE			
NCJPFIPA_00841	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
NCJPFIPA_00842	gene	1206	csdA			
NCJPFIPA_00842	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
NCJPFIPA_00843	gene	228	ygdR_4			
NCJPFIPA_00843	CDS	228	ygdR_4			putative lipoprotein YgdR
NCJPFIPA_00844	gene	123				
NCJPFIPA_00844	CDS	123				hypothetical protein
NCJPFIPA_00845	gene	918	gcvA			
NCJPFIPA_00845	CDS	918	gcvA			Glycine cleavage system transcriptional activator
NCJPFIPA_00846	gene	396				
NCJPFIPA_00846	CDS	396				hypothetical protein
NCJPFIPA_00847	gene	1101	rlmM			
NCJPFIPA_00847	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
NCJPFIPA_00848	gene	711	ydjF			
NCJPFIPA_00848	CDS	711	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
NCJPFIPA_00849	gene	423	fucU			
NCJPFIPA_00849	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
NCJPFIPA_00850	gene	1419	fucK			
NCJPFIPA_00850	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
NCJPFIPA_00851	gene	1776	fucI			
NCJPFIPA_00851	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
NCJPFIPA_00852	gene	1317	fucP_1			
NCJPFIPA_00852	CDS	1317	fucP_1		COG0738	L-fucose-proton symporter
NCJPFIPA_00853	gene	648	fucA			
NCJPFIPA_00853	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
NCJPFIPA_00854	gene	1149	fucO			
NCJPFIPA_00854	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
NCJPFIPA_00855	gene	756	ygdG			
NCJPFIPA_00855	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
NCJPFIPA_00856	gene	1368	sdaB			
NCJPFIPA_00856	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
NCJPFIPA_00857	gene	1290	sdaC			
NCJPFIPA_00857	CDS	1290	sdaC		COG0814	Serine transporter
NCJPFIPA_00858	gene	1365	ppnN			
NCJPFIPA_00858	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
NCJPFIPA_00859	gene	849	queF			
NCJPFIPA_00859	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
NCJPFIPA_00860	gene	546	syd			
NCJPFIPA_00860	CDS	546	syd			Protein Syd
NCJPFIPA_00861	gene	330	yqcC			
NCJPFIPA_00861	CDS	330	yqcC		COG3098	putative protein YqcC
NCJPFIPA_00862	gene	783	truC			
NCJPFIPA_00862	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
NCJPFIPA_00863	gene	450				
NCJPFIPA_00863	CDS	450			COG0716	putative protein
NCJPFIPA_00864	gene	1359	gudP_1			
NCJPFIPA_00864	CDS	1359	gudP_1			putative glucarate transporter
NCJPFIPA_00865	gene	1341	gudX			
NCJPFIPA_00865	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
NCJPFIPA_00866	gene	1341	gudD			
NCJPFIPA_00866	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
NCJPFIPA_00867	gene	1143	garK_2			
NCJPFIPA_00867	CDS	1143	garK_2	2.7.1.165	COG1929	Glycerate 2-kinase
NCJPFIPA_00868	gene	2757	barA			
NCJPFIPA_00868	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
NCJPFIPA_00869	gene	1296	rlmD			
NCJPFIPA_00869	CDS	1296	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
NCJPFIPA_00870	gene	2235	relA			
NCJPFIPA_00870	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NCJPFIPA_00871	gene	288				
NCJPFIPA_00871	CDS	288				hypothetical protein
NCJPFIPA_00872	gene	297	parE4			
NCJPFIPA_00872	CDS	297	parE4		COG3668	Toxin ParE4
NCJPFIPA_00873	gene	801	mazG			
NCJPFIPA_00873	CDS	801	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
NCJPFIPA_00874	gene	1638	pyrG			
NCJPFIPA_00874	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
NCJPFIPA_00875	gene	1299	eno			
NCJPFIPA_00875	CDS	1299	eno	4.2.1.11	COG0148	Enolase
NCJPFIPA_00876	gene	672	queE			
NCJPFIPA_00876	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
	repeat_region	273				
NCJPFIPA_00877	gene	798	rbn_1			
NCJPFIPA_00877	CDS	798	rbn_1	3.1.26.11		Ribonuclease BN
NCJPFIPA_00878	gene	363	queD			
NCJPFIPA_00878	CDS	363	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
NCJPFIPA_00879	gene	1800	cysJ			
NCJPFIPA_00879	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
NCJPFIPA_00880	gene	1713	cysI			
NCJPFIPA_00880	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
NCJPFIPA_00881	gene	735	cysH_1			
NCJPFIPA_00881	CDS	735	cysH_1	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
NCJPFIPA_00882	gene	954	sopD			
NCJPFIPA_00882	CDS	954	sopD			Secreted effector protein SopD
NCJPFIPA_00883	gene	2664	ygcB			
NCJPFIPA_00883	CDS	2664	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
NCJPFIPA_00884	gene	1557				
NCJPFIPA_00884	CDS	1557				hypothetical protein
NCJPFIPA_00885	gene	561				
NCJPFIPA_00885	CDS	561				hypothetical protein
NCJPFIPA_00886	gene	1059	casC			
NCJPFIPA_00886	CDS	1059	casC			CRISPR system Cascade subunit CasC
NCJPFIPA_00887	gene	747				
NCJPFIPA_00887	CDS	747				hypothetical protein
NCJPFIPA_00888	gene	651	casE			
NCJPFIPA_00888	CDS	651	casE	3.1.-.-		CRISPR system Cascade subunit CasE
NCJPFIPA_00889	gene	921	ygbT			
NCJPFIPA_00889	CDS	921	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
NCJPFIPA_00890	gene	294	ygbF			
NCJPFIPA_00890	CDS	294	ygbF	3.1.-.-		CRISPR-associated endoribonuclease Cas2
	repeat_region	458				
	repeat_region	578				
NCJPFIPA_00891	gene	1047				
NCJPFIPA_00891	CDS	1047				hypothetical protein
NCJPFIPA_00892	gene	909	cysD			
NCJPFIPA_00892	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
NCJPFIPA_00893	gene	1440	cysN			
NCJPFIPA_00893	CDS	1440	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
NCJPFIPA_00894	gene	606	cysC			
NCJPFIPA_00894	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
NCJPFIPA_00895	gene	324	ygbE			
NCJPFIPA_00895	CDS	324	ygbE			Inner membrane protein YgbE
NCJPFIPA_00896	gene	312	ftsB			
NCJPFIPA_00896	CDS	312	ftsB		COG2919	Cell division protein FtsB
NCJPFIPA_00897	gene	711	ispD			
NCJPFIPA_00897	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NCJPFIPA_00898	gene	480	ispF			
NCJPFIPA_00898	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
NCJPFIPA_00899	gene	1050	truD			
NCJPFIPA_00899	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
NCJPFIPA_00900	gene	762	surE			
NCJPFIPA_00900	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
NCJPFIPA_00901	gene	627	pcm			
NCJPFIPA_00901	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
NCJPFIPA_00902	gene	1134	nlpD_2			
NCJPFIPA_00902	CDS	1134	nlpD_2			Murein hydrolase activator NlpD
NCJPFIPA_00903	gene	993	rpoS			
NCJPFIPA_00903	CDS	993	rpoS			RNA polymerase sigma factor RpoS
NCJPFIPA_00904	gene	237	vdcD			
NCJPFIPA_00904	CDS	237	vdcD			Protein VdcD
NCJPFIPA_00905	gene	1428	edcC			
NCJPFIPA_00905	CDS	1428	edcC	4.1.1.61	COG0043	Phenolic acid decarboxylase
NCJPFIPA_00906	gene	594	ecdB			
NCJPFIPA_00906	CDS	594	ecdB	2.5.1.129	COG0163	putative UbiX-like flavin prenyltransferase
NCJPFIPA_00907	gene	405	hosA			
NCJPFIPA_00907	CDS	405	hosA			Transcriptional regulator HosA
NCJPFIPA_00908	gene	765	glcR_1			
NCJPFIPA_00908	CDS	765	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
NCJPFIPA_00909	gene	924	ltnD			
NCJPFIPA_00909	CDS	924	ltnD	1.1.1.411		L-threonate dehydrogenase
NCJPFIPA_00910	gene	1263	otnK			
NCJPFIPA_00910	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
NCJPFIPA_00911	gene	639	otnC			
NCJPFIPA_00911	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
NCJPFIPA_00912	gene	777	otnI			
NCJPFIPA_00912	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
NCJPFIPA_00913	gene	951	denD			
NCJPFIPA_00913	CDS	951	denD	1.1.1.410	COG0451	D-erythronate dehydrogenase
NCJPFIPA_00914	gene	1497	gntT_1			
NCJPFIPA_00914	CDS	1497	gntT_1		COG2610	High-affinity gluconate transporter
NCJPFIPA_00915	gene	912	dmlR_1			
NCJPFIPA_00915	CDS	912	dmlR_1			HTH-type transcriptional regulator DmlR
NCJPFIPA_00916	gene	1209	jefA			
NCJPFIPA_00916	CDS	1209	jefA			Drug efflux pump JefA
NCJPFIPA_00917	gene	381				
NCJPFIPA_00917	CDS	381				hypothetical protein
NCJPFIPA_00918	gene	2568	mutS			
NCJPFIPA_00918	CDS	2568	mutS		COG0249	DNA mismatch repair protein MutS
NCJPFIPA_00919	gene	657	pphB			
NCJPFIPA_00919	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
NCJPFIPA_00920	gene	177				
NCJPFIPA_00920	CDS	177				hypothetical protein
NCJPFIPA_00921	gene	528				
NCJPFIPA_00921	CDS	528				hypothetical protein
NCJPFIPA_00922	gene	282				
NCJPFIPA_00922	CDS	282				hypothetical protein
NCJPFIPA_00923	gene	327				
NCJPFIPA_00923	CDS	327				hypothetical protein
NCJPFIPA_00924	gene	333				
NCJPFIPA_00924	CDS	333				hypothetical protein
NCJPFIPA_00925	gene	450				
NCJPFIPA_00925	CDS	450				hypothetical protein
NCJPFIPA_00926	gene	444	invH			
NCJPFIPA_00926	CDS	444	invH			Type 3 secretion system pilotin
NCJPFIPA_00927	gene	750	invF			
NCJPFIPA_00927	CDS	750	invF			Invasion protein InvF
NCJPFIPA_00928	gene	1689	sctC_2			
NCJPFIPA_00928	CDS	1689	sctC_2		COG1450	Type 3 secretion system secretin
NCJPFIPA_00929	gene	1119	mxiC			
NCJPFIPA_00929	CDS	1119	mxiC			Protein MxiC
NCJPFIPA_00930	gene	2058	invA			
NCJPFIPA_00930	CDS	2058	invA		COG4789	Invasion protein InvA
NCJPFIPA_00931	gene	408	spaK			
NCJPFIPA_00931	CDS	408	spaK			Surface presentation of antigens protein SpaK
NCJPFIPA_00932	gene	1296	spaL			
NCJPFIPA_00932	CDS	1296	spaL	7.1.2.2	COG1157	putative ATP synthase SpaL
NCJPFIPA_00933	gene	444				
NCJPFIPA_00933	CDS	444				hypothetical protein
NCJPFIPA_00934	gene	1011				
NCJPFIPA_00934	CDS	1011				hypothetical protein
NCJPFIPA_00935	gene	912	spaO			
NCJPFIPA_00935	CDS	912	spaO		COG1886	Surface presentation of antigens protein SpaO
NCJPFIPA_00936	gene	675	spaP_2			
NCJPFIPA_00936	CDS	675	spaP_2		COG4790	Surface presentation of antigens protein SpaP
NCJPFIPA_00937	gene	261	spaQ_2			
NCJPFIPA_00937	CDS	261	spaQ_2		COG4794	Surface presentation of antigens protein SpaQ
NCJPFIPA_00938	gene	792	spaR_2			
NCJPFIPA_00938	CDS	792	spaR_2		COG4791	Surface presentation of antigens protein SpaR
NCJPFIPA_00939	gene	1071	spaS			
NCJPFIPA_00939	CDS	1071	spaS		COG1377	Surface presentation of antigens protein SpaS
NCJPFIPA_00940	gene	498	sicA			
NCJPFIPA_00940	CDS	498	sicA		COG0457	Chaperone protein SicA
NCJPFIPA_00941	gene	1782	sipB			
NCJPFIPA_00941	CDS	1782	sipB			Cell invasion protein SipB
NCJPFIPA_00942	gene	1230	sipC			
NCJPFIPA_00942	CDS	1230	sipC			Cell invasion protein SipC
NCJPFIPA_00943	gene	1032	sipD			
NCJPFIPA_00943	CDS	1032	sipD			Cell invasion protein SipD
NCJPFIPA_00944	gene	2058	sipA			
NCJPFIPA_00944	CDS	2058	sipA			Cell invasion protein SipA
NCJPFIPA_00945	gene	249	acpP_1			
NCJPFIPA_00945	CDS	249	acpP_1		COG0236	Acyl carrier protein
NCJPFIPA_00946	gene	261				
NCJPFIPA_00946	CDS	261				hypothetical protein
NCJPFIPA_00947	gene	393	sicP			
NCJPFIPA_00947	CDS	393	sicP			Chaperone protein sicP
NCJPFIPA_00948	gene	1608	sptP			
NCJPFIPA_00948	CDS	1608	sptP			Secreted effector protein SptP
NCJPFIPA_00949	gene	483				
NCJPFIPA_00949	CDS	483				hypothetical protein
NCJPFIPA_00950	gene	1662	hilA			
NCJPFIPA_00950	CDS	1662	hilA		COG0457	Transcriptional regulator HilA
NCJPFIPA_00951	gene	930	rhaR_1			
NCJPFIPA_00951	CDS	930	rhaR_1			HTH-type transcriptional activator RhaR
NCJPFIPA_00952	gene	1236	prgH			
NCJPFIPA_00952	CDS	1236	prgH			Protein PrgH
NCJPFIPA_00953	gene	243	prgI			
NCJPFIPA_00953	CDS	243	prgI			Protein PrgI
NCJPFIPA_00954	gene	306				
NCJPFIPA_00954	CDS	306				hypothetical protein
NCJPFIPA_00955	gene	759	prgK			
NCJPFIPA_00955	CDS	759	prgK		COG4669	Lipoprotein PrgK
NCJPFIPA_00956	gene	579	orgA			
NCJPFIPA_00956	CDS	579	orgA			Oxygen-regulated invasion protein OrgA
NCJPFIPA_00957	gene	681	orgB			
NCJPFIPA_00957	CDS	681	orgB			Oxygen-regulated invasion protein OrgB
NCJPFIPA_00958	gene	453				
NCJPFIPA_00958	CDS	453				hypothetical protein
NCJPFIPA_00959	gene	888	rhaR_2			
NCJPFIPA_00959	CDS	888	rhaR_2			HTH-type transcriptional activator RhaR
NCJPFIPA_00960	gene	756				
NCJPFIPA_00960	CDS	756				hypothetical protein
NCJPFIPA_00961	gene	867	yopJ			
NCJPFIPA_00961	CDS	867	yopJ			Effector protein YopJ
NCJPFIPA_00962	gene	849	mntB_1			
NCJPFIPA_00962	CDS	849	mntB_1			Manganese transport system membrane protein MntB
NCJPFIPA_00963	gene	861	mntB_2			
NCJPFIPA_00963	CDS	861	mntB_2			Manganese transport system membrane protein MntB
NCJPFIPA_00964	gene	822	mntB_3			
NCJPFIPA_00964	CDS	822	mntB_3		COG1121	Manganese transport system ATP-binding protein MntB
NCJPFIPA_00965	gene	918				
NCJPFIPA_00965	CDS	918			COG0803	putative periplasmic iron-binding protein
NCJPFIPA_00966	gene	345				
NCJPFIPA_00966	CDS	345				hypothetical protein
NCJPFIPA_00967	gene	2079	fhlA			
NCJPFIPA_00967	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator
NCJPFIPA_00968	gene	1011	hypE			
NCJPFIPA_00968	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
NCJPFIPA_00969	gene	1122	hypD			
NCJPFIPA_00969	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
NCJPFIPA_00970	gene	273	hypC			
NCJPFIPA_00970	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
NCJPFIPA_00971	gene	873	hypB			
NCJPFIPA_00971	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
NCJPFIPA_00972	gene	357	hypA			
NCJPFIPA_00972	CDS	357	hypA		COG0375	Hydrogenase maturation factor HypA
NCJPFIPA_00973	gene	462	hycA			
NCJPFIPA_00973	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
NCJPFIPA_00974	gene	609	hyfA_1			
NCJPFIPA_00974	CDS	609	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
NCJPFIPA_00975	gene	1827	hyfB			
NCJPFIPA_00975	CDS	1827	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
NCJPFIPA_00976	gene	924	hycD			
NCJPFIPA_00976	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
NCJPFIPA_00977	gene	1710	hycE			
NCJPFIPA_00977	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
NCJPFIPA_00978	gene	543	ndhI			
NCJPFIPA_00978	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
NCJPFIPA_00979	gene	768	hycG			
NCJPFIPA_00979	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
NCJPFIPA_00980	gene	411				
NCJPFIPA_00980	CDS	411				hypothetical protein
NCJPFIPA_00981	gene	471	hycI			
NCJPFIPA_00981	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
NCJPFIPA_00982	gene	810				
NCJPFIPA_00982	CDS	810				hypothetical protein
NCJPFIPA_00983	gene	546	hyfA_2			
NCJPFIPA_00983	CDS	546	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
NCJPFIPA_00984	gene	2241	hypF			
NCJPFIPA_00984	CDS	2241	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
NCJPFIPA_00985	gene	1134	norW			
NCJPFIPA_00985	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
NCJPFIPA_00986	gene	1440	norV_2			
NCJPFIPA_00986	CDS	1440	norV_2		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
NCJPFIPA_00987	gene	1521	norR_1			
NCJPFIPA_00987	CDS	1521	norR_1		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
NCJPFIPA_00988	gene	966	gutQ			
NCJPFIPA_00988	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
NCJPFIPA_00989	gene	774	srlR_4			
NCJPFIPA_00989	CDS	774	srlR_4		COG1349	Glucitol operon repressor
NCJPFIPA_00990	gene	360				
NCJPFIPA_00990	CDS	360				hypothetical protein
NCJPFIPA_00991	gene	780	srlD			
NCJPFIPA_00991	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
NCJPFIPA_00992	gene	363	srlB_1			
NCJPFIPA_00992	CDS	363	srlB_1		COG3731	PTS system glucitol/sorbitol-specific EIIA component
NCJPFIPA_00993	gene	972	srlE_1			
NCJPFIPA_00993	CDS	972	srlE_1	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
NCJPFIPA_00994	gene	564	srlA_1			
NCJPFIPA_00994	CDS	564	srlA_1		COG3730	PTS system glucitol/sorbitol-specific EIIC component
NCJPFIPA_00995	gene	1080	mltB			
NCJPFIPA_00995	CDS	1080	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
NCJPFIPA_00996	gene	246				
NCJPFIPA_00996	CDS	246				hypothetical protein
NCJPFIPA_00997	gene	498	pncC_2			
NCJPFIPA_00997	CDS	498	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
NCJPFIPA_00998	gene	1062	recA			
NCJPFIPA_00998	CDS	1062	recA		COG0468	Protein RecA
NCJPFIPA_00999	gene	540	recX			
NCJPFIPA_00999	CDS	540	recX		COG2137	Regulatory protein RecX
NCJPFIPA_01000	gene	2631	alaS			
NCJPFIPA_01000	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
NCJPFIPA_01001	gene	186	csrA			
NCJPFIPA_01001	CDS	186	csrA		COG1551	Carbon storage regulator
NCJPFIPA_01002	gene	93				
NCJPFIPA_01002	tRNA	93				tRNA-Ser(gct)
NCJPFIPA_01003	gene	77				
NCJPFIPA_01003	tRNA	77				tRNA-Arg(acg)
NCJPFIPA_01004	gene	75				
NCJPFIPA_01004	tRNA	75				tRNA-Arg(acg)
NCJPFIPA_01005	gene	147	oadB_1			
NCJPFIPA_01005	CDS	147	oadB_1	7.2.4.2	COG1883	Oxaloacetate decarboxylase beta chain
NCJPFIPA_01006	gene	1659	citA			
NCJPFIPA_01006	CDS	1659	citA	2.7.13.3	COG3290	Sensor histidine kinase CitA
NCJPFIPA_01007	gene	687	citB			
NCJPFIPA_01007	CDS	687	citB		COG4565	Transcriptional regulatory protein CitB
NCJPFIPA_01008	gene	921	rihC			
NCJPFIPA_01008	CDS	921	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
NCJPFIPA_01009	gene	1203				
NCJPFIPA_01009	CDS	1203				hypothetical protein
NCJPFIPA_01010	gene	951	ispH			
NCJPFIPA_01010	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NCJPFIPA_01011	gene	450	fkpB			
NCJPFIPA_01011	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
NCJPFIPA_01012	gene	501	lspA			
NCJPFIPA_01012	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
NCJPFIPA_01013	gene	2835	ileS			
NCJPFIPA_01013	CDS	2835	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
NCJPFIPA_01014	gene	939	ribF			
NCJPFIPA_01014	CDS	939	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
